IDKEY,Q11_1,Q9_1
3012_HZPQZGS4120135,제품이 고급스럽고 좋아보이는 광고이지만 딱히 더 친근해지는 느낌은 아닌 것 같다,뭔가 더 고급스러운 느낌을 줘서 제품에 더 신뢰가 가는 것 같다
3049_HGTPYQ8W175128,엘지는 왜 비싸?,색감이 더 좋았다 
3118_IHI7RD5R212637,그냥 우리네들 일상의 모습을 그대로 담아 낸 영상이라,반려동물을 키우는 사람들이 많은데¸ 내 반쪽이라는 표현을쓰며 소울메이트 느낌을주는게 귀엽고 사랑스럽다.그만큼 배려와 사랑을 듬뿍 안겨주는 사랑해줄줄 아는 사람과 사랑받아 마땅한 동반견의 모습을 잘 보여줌.
3238_IAKNM5Q1103954,동물을 키우지 않아서,제품에 집중되서
3265_I8VBWJ02175219,더 친한 펫 라이프에주인¸ 강아지와 기기가들어가는 컷이 많아서 그렇게 느껴집니다,포인트를 가전에 더 집중해서 보여주고 있어서
3275_IRONLG6U182528,반려동물을생각해줘서,펫 이라는 문구가더떠오름
327_8SAZ7P0F185917,반려동물을 키우고 있는 입장이라 더 눈에 띄고 관심이 생겼다,내용이 일관적이고 펫관련 광고임이 확실히 느껴진다
3302_I3NUPZ0X160649,가전은 LG라는 인식이 심어져 있다. ,펫라이프라는 직관적 시작으로 어떤 광고인지 쉽게 인지가능.반려견을 키우는 사람으로¸ 두배가 되는 행복¸ 반려견도 가족이라는 내용이 맘에 듬.
3328_JI56C7T1135013,소비자 중심적인 광고,더 친숙하게 소비자에게 접근
3359_JWTMEOJP175002,대기업 이미지,친근감
3406_J8TSOQSI114413,일상적인모습을 보여줘서,움직이는 화면과 좀더 다양한 가족구성원을보여줘서
3417_J3NYXJMJ152902,좀 더 집중적으로 알려줍니다,다양한 방송이 나와서 좋습니다
3420_JC5PYPAQ075412,별다른 느낌이 없어서,다양한 연령대가 출연해서
3472_JMB0M0G3181920,친근한 소재의 느낌을 살려준다,더  대중적이다
3474_JEN3ACL7170100,나의 미래일것같다,좀 더 공감이가고 메세지가 명확함
3492_J7SZOZ8I160449,일상적인 애견인의 모습,좀 더 친화적
3503_JVVNWH9W153823,생활속에 LG는 항상 함께한다,더욱 눈길이 간다
3541_JG80DDJA053707,그럴만하므로,그럴듯?
3556_JPUB6YV5175431,광고는 광고일뿐 이므로.항상 광고는 과대광고밖에 없다는 생각이 크다.,해당 제품에 대하여 좀더 일상생활과 밀접한 광고같다는  느낌이 많이 들었다.
3580_JG9WPFDR234330,엘지를 좋아함 ,깔끔한 느낌
3586_J0W3Z3NZ184418,반려견보다는 반쪽이라는 표현이 더 친근하고 아이와함께 어울리는 반려견이 일상에서 늘 함께하는 부분에서 공감을 할수있었다,친근감이 가고 공감할수있는부분이 더 많다
3597_JXDXI6ET125109,평소 친근한다 느껴진 브랜드 입니다,펫 이 중심이 되어서
3612_K6Z8BRQN102726,광고안에서 제품과 반려동물?가족이 너무 잘 조화로왔습니다 ,A보다 더 화목하게 친근하게 다가왔습니다반려동물과 가족이 되서 행복도 두배 라는게더 잘 보이고 느껴졌습니다
3738_KVPP139F175140,화면전환이 더 편안합니다,b가 더 친근한 느낌이 듭니다.
3832_KEEN1NYG175124,자주 접한다,브랜드 
389_87PMHDQ9151454,동물과 사람의 공감댁 느껴저서.,동물이 있어서
3912_LKCIGNES174658,공감이 간다,친근감이 있고 기억에 남는다
3983_LL4KYW9E153444,무난함,와닿음
3989_LOK3VPZJ110506,우리 일상과 함께 하는 가까운 존재이기 때문,트렌디하고 광고의 내용이 눈에 잘 들어옴
4038_LZNTUE74065352,펫과함께하는,주제를 확인할수있어서
407_8QGCKFN4175116,펫에게 까지 신경쓰는 모습을 보고,젊고 트렌디한 느낌이 난다
4158_LQ2LFWVL182908,광고가 따뜻해서 좀더 엘지란 브랜드가 친숙하게 느껴진다,좀더 감각적이면서 심플해서 주제가 명확히 와닿는다
4207_MQ4GUPFX131408,반려동물과 모델이 동반 출연한다는 점에서 친근하고 가깝고 따뜻함이 느껴졌습니다.,B광고가 여러모델들이 출연해서 약간 산만한 느낌인 반면 A광고는 심플하면서도 무슨 내용을 전달하려는지 전달 내용을 정확히 알 수 있어 더 좋았습니다.
4224_MOE51BZ3152222,평상시에도LG에 익숙해서,펫팸이라는 특징이 더 잘드러나는것같아서
4250_M3WGOJS7175123,반려동물을 가족처럼 대하는것을 좀더 현실적이고 정겹게 표현했다,멘트나 영상이 좀더 시각적으로나 청각적으로 꽂힌다
426_8OULGN61235751,아이 목소리,친근
4347_MSL05L6E215215,LG는 가전게품을 튼튼하고 잘만들어서 많이 애용하는편이다,시선을더 끌고 그냥 이게더 맘에든다
4437_M7Y0YX31101951,반려견 반려묘를 키우는집엔 필요하고 딱 그에맞는 정확성을 보여주고잇어서,애완동물이있는 가정에 딱 좋아보이는 광고
4449_NXNEFQ07114103,펫을 키우며 꼭 필요한 제품을 지시하므로 나에게 꼭 필요한 가전을 보여주는 느낌,펫을 키우면서 공감가는 상황이 더 많이 제시되서 
4553_NSE52W2C173812,이해하기 쉽고 광고가 친근감이 느껴져서,기억에 남아서
4625_NEM9HMAO095350,광고에서 편안함을 느끼게 해줘서.,광고가 심플하고 설명하고자 하는 의도가 잘 보임.
4758_O9EYD2GE110507,많이 접해서,더 편안한 느낌을 준다
4776_O9BBTZYD114444,반려동물 모델,펫이라는 이미지
4793_OJNVLH5S175133,광고를 가족을 대상으로 꾸며서 그런지 우리집도 광고처럼 저렇게 살지하면서 봤다 그래서 더 가깝게 느껴진다,광공에 공감이되면서도 제품에 대한 기대값이 생긴다
5027_P7G267I2112008,가족의 새로운 구성원인 펫을 위한 가전,힐링되는 느낌이 좋다
5055_PJE99QC5090154,말그대로,강아지와 같이 사는 다양한 가족들
5205_P5P5AJ9E144437,동물들하고 가까운 사이처럼 나와서,좀 더 친근감있어서
5275_QIFIO2TI125813,집안에서 좋은 가전으로 관리가 되는 것 같아서,강아지를 키우지 않아 공감이 위 광고가 더 되어서
5367_QNHWUFXG005025,광고에 나온 장면이 바로 우리의 일상 생활이기 때문에,제품의 기능을 장면 장면이 더 잘 표현하고 있다
5372_Q5HEWTAW190134,느낌적으로 감각적이라서,좀 더 트렌디하고 감각적이라서
5515_QJ2EH6ND185641,자주 사용하는 제품이다,더 기억에 남는다
5550_QKX5E0LB222206,강아지들과의 교감,더 눈에 잘 띄었다
559_9IMAC4CR014158,일상생활에 딱 떨어지는 광고여서,더 재밌게 느껴진다
5659_RZA3CVWO160148,소소한 일상의 아름다움을 잘 표현한것 같아요,광고가  따뜻해서 친밀함과 신뢰를 줍니다
5673_REOV7P26142433,제품의 사용법과 일상생활의 어우러짐을 보여주었다,전달력이 더 강하다
5845_SPO3S2MG175220,일상에 가까운 형태의 광고여서,좀 더 고객이 사용한 경험이 느껴짐
5924_S0SRZ1ZM152956,광고의 분위기가 따뜻하다,헌재 내 상황과 공감이 간다
6005_SIRGYX27145115,원래 알던 브랜드라서,뭔가 공감되요 앞에 광고보다 집중되는 느낌
6148_TOLZI0M1143628,원래도 좋아하는 브랜드인데 브랜드 이미지를 잘 표현한거 같아요,깔끔하고 트렌디한 느낌
6210_TGYWMX1C010606,목소리와 디자인이 마음에 들기 때문이다,설명이 더욱 자세한 느낌이고 디자인도 마음에 든다
6214_TCIDSV02154226,강아지가 자꾸 나옴 가전은 가족끼라 사용하는거지 동물용이 아님,강아지를 왜 자꾸 집안에 넣어서 펫가전 하는지 모르겠음그나마 덜나와서 고름
6282_TVEIYCG1012211,반려동물을 키우는 가구를 잘 이해하려하는 것 같다,반려동물과 함께 쓰는 가전 광고니 후자가 더 친근하게 와닿았다
6351_TNOUGFMF134746,강아지를 키워서 펫케어 가능한 광고가 마음에 든다,반려동물 강아지를 키우고있어 더 호감이 간다
6376_TVA4CRO5162830,특별히 더 친근하게 느껴지진 않음,애완동물과 좀더 가족이라는 느낌
650_9JFB0WM4095436,이미지,동물을 좋아해서
6561_UC9YGENG110456,제품에 대해 궁금해지는뜻해요.,더기억에 남는것 같습니다.
6599_UEUYC4HY153233,펫과 함께 사용할 수 있는 가전이라,A광고가 조금 더 심플한 느낌
6679_VWTOAZKJ175305,명품브랜드 같지 않아 쉽게 살 수 있을 것 같음,내용이 간결하고 그래서 더 명확하게 느껴짐
669_9HTKX441003242,귀여운 강아지가 함께나와서,사람과 동물이 함께하는 모습이 더 잘 반영된거같다
6709_VYG9SKMX154620,관심없는 분야,1. A는 스틸 이미지 위주라서 임팩트 약함2. B가 더 영상길이가 김2-1. 이로인해 제작사도 내심 b가 나오길 기대 예상단¸ a의 young한 느낌과 텍스트모션을 b에 약간 섞으면 어떨까?번외로 동물을 안키우기 때문에 관심 없음By M4 윤승주
6733_V4GUFMRU212131,동물의 스토리가 잘녹여져 있어서임,스토리 전개가 전자 보다 흐림이 좋았음
6816_V4CGQ893130854,일상생활에 있을 법한 상황을 바로 보여주기 때문입니다,A광고가 더 직관적입니다. B광고는 흐름이 느린 편이라 빠르게 보고 지나가는 tv나 인터넷광고보다는 영화관 광고에 더 맞는 흐름인 것 같습니다
6822_V7SZN208103011,주변에서 많이 사용,빠른느낌
6835_V2QQMGS0161601,자연스럽게 연출되었다,편안하다
6843_V49T9WGX113106,감성적임,좀 더 따뜻함
6860_VMDU2OHZ114542,반려견과 함께,트렌드함이 더 끌림
6950_WKK6H5UJ235550,반려동물의 견생묘생도 배려해주는느낌이라,어린아이가등장해형이니까참는다는 멘트가 더 귀여웠고 가족느낌
6963_WVOLUE5E143635,실생활에 적용 가능한 가전,지루하지 않다
7024_WB1NEGWG082113,우리가족이란 문구,귀엽네요 펫 광고가 딱 들어왔어요 
710_9PC79DNP152636,영상미와 문구가 그래서,메시지가 더 분명하고 감성적이어서
716_9Q51XWG1000325,내가 써보고 싶은 게 있어서,조금 더 기억에 남는다.
724_9TP4KC5Y152736,가전제품들이 다 튼튼해서 자주 사용,처음의 내반쪽이 시선을 끔
7257_XBR5UFY8184454,공감,가족 ?? 반려
7304_XPDZDS5U175217,앞에서 말한것처럼 반려팻의 기능을 가진 제품을 사용할 가능성이 크지 않으므로.,사실 두 광고를 기본적으로 선호하진 않는다. 안좋다가 아니라 반려견이 없기에 큰 공감은 없음. 하지만 펫케어 기능이 있는 가전제품이 있다는걸 알게되는 정보제공 면에서는 A광고가 훨씬 더 와닿는다. B는 반려견과 함께하는 라이프 장면이 훨씬 더 많은 기분.
7319_XE6XJ80S180037,영상 전달력이 좋아서,집중이 잘됨
7351_XX3R4AK2130518,일상 생활 전반에 같이있는것같은 느낌을 받아서,좀더 기억에 남아서
7414_X7DLKYD1184001,생활에 필요한 가전으로 점점 진화하며 생활을 편리하게해줘서,좀더 활기찬 느낌이 기억에 남으니까
7446_XNORVP0H072319,생활밀착형 소재의 느낌 광고로 판단된다 ,생활에 좀더 밀접한 관련이 있다고 생각된다 
7465_XK20SXIE090421,새롭게 다가오는 느낌이라서,친밀도 높음
7637_YOARB191200642,a b다 강아지가 등장하는데 사람자체보다 반려견키우는 가정을 위한 제품으로밖에 안보임,그나마요
7639_Y4LZEIRW134735,더 포근한 느낌이 든다,더 포근한 느낌이 든다
7653_Y3S4VHDA202453,마음에 와 닿습니다,저의 맘에 확실히 A광고가 더 좋습니다
7700_YAIWMYSI213440,눈에 익숙해서,좀 더 눈길을 끌었고 트렌디한 것 같습니다
7714_YBCPD9BP093845,원래알던브랜드라서,심플해서
7734_YSJBWN9J152742,원래의 엘지가전에 대한 이미지가 좋았기 때문에 이 광고 때문에 더 호감도가 상승한 느낌은 아님,더 소비자에게 친근한 느낌이다.
7737_YWW84U2W130847,현 사회의 실정을 잘 반영함,공감되는게 많음
7749_YMLMLNZ2172911,애완견,감정이입이 잘되서
7775_ZAH4JGJN151514,원래 알건 제품이고 애견인이여서,글자와 함께잇어서
7794_Z8VDGO1K172501,느낌이 좋아서,더 마음에 들어서
7819_ZZBZY5J6141726,동물을 키우는 입장으로써 매우 공감감,A는 가전을 위해 동물을 끼운 느낌이고¸ B는 동물과의 이야기에 가전이 들어간 느낌. 정서와 어필을 위해서는 B가 맞는 것 같다
7855_ZN7G0QSM214040,서로의 연결고리 역할의 중심,나와 반려견을 하나로 연결해주는 시너지효과가 더좋게다가옴
7902_ZI0XWYIC190353,강아지가 사람과 일상을 같이 하는 느낌,더 귀여운 느낌이다
7964_Z0YPPA77154214,펫과의 일생을 다 그려줘서,뭔가 반려동물과의 더 애뜻하고 끈끈한 메시지를 던져주고 펫가전으로써 더 다가온다
7971_Z8NL4PRX010418,공감가는 일상을 풀어놔서,사람보다 펫을 위한 가전이라는 느낌이 더 든다
8008_ZRE9DA4J155549,그닥 와닿지않아서,둘다 별로지만 b보다는 나은거같아서
8094_0M8NKKPP153825,동물과 사람의 교감을 클로즈업 형식으로 강조,동물을 클로즈업하고 더 다양한 사용상황을 제시함
8218_07L62OF4102340,그냥 보통으로 느낌,방금 들어서 더 기억에 남음
824_9K3YZBEP215152,가지고 싶기 때문이다,여성의 목소리가 더 안심감을 준다
8284_00SXV4NR125256,원래도 친근한 브랜드였음 그러나 반랴동물을 키우고있지 않은 입장이라 큰 차이 없음,세련된 카피 도출 연출 장면. 비안은 올드함
8322_0L6AC0X5134903,요즘 애완동물 키우시는 분들 많은데 실생활에 필요한 부분을 스토리에 잘 담아서 가전을 소개해 준것 같아요.,광고가 정돈되고 더 젊고 트렌디한 느낌이다. 그리고 글자를 변형하면서 이어지는 스토리가 마음에 들어요.
8436_195J1OVI175242,동물과 인간이 함께해서,더욱더 트렌디하고 떠뜻한 느낌이어서
8441_1HQVRHIH144449,강아지를 키우고 있어서,강아지에 대한 애정이 더 담겨있다
8471_1L05IDHO114807,그냥 보기 편해서 주변 일이라서,더 트랜디해서 좋다
8489_1VCP9UO3213630,다양한 가전제품 ,제품간 구분이 보다 선명하다
8579_1DCDBHIJ205130,강아지와 전자제품이 연관된 것이 기억이 난다,영어문구와 제품의 주제가 맞아 더 기억이 난다
8581_1RZX5N2L213626,세련되고 제품의설명이 쉽다,상품의느낌이 더 잘납니다
8620_29U53UDY131413,반려견의 이미지를 활용해서 널리 공감대를 이끌어내고 친근하게 느낌,좀더 심플하고 트렌디하다
8724_2V6RFGPN133539,실생활모습을 보여주어서,종더직관적
8867_2109YK8H154141,이해하기 쉽다,이해하기 쉽다
889_A81BA5SQ152226,반려동물을 너무 개에만 포커스둔 느낌이다,사진이미지를 움직이게 모션처리한게 인상깊다
8983_33M2GERW112508,나의 반려동물을 위한 제품,반려동물을 연인이라 표현한 것이 재미있음
9046_3AA8NRN2135419,요즘 트렌드인 반려동물을 주제로 공감이되게 광고를했음,싱글라이프를 더 잘 보여줌
906_AZKJFHJ9103245,귀여운 동물을 많이 보여줘서,동물이 더 많이 나와서 대상고객에게 어필이 될 것 같다
9181_40W4Q9XY071531,브랜드 이미지가 좋다,친근하다
9248_4NX2QQ9Q215355,많이 본 광고이기 때문이다.,그림이 마음에 더 잘들어서
9266_4H2Y4DX2212310,광고,몰입도가 더 좋음
9343_4NX8TQGM102025,오래된 브랜드이지만 시대흐름을 아는 느낌이 든다,더 임팩트가 있다
9380_4NVKF6CB130008,더 자연스러운 영상이다,더 자연스러움
9482_5JIRDQFO124225,광고를 보니 구매하고 싶게 만들고 영상속 스토리가 일상적이라 친근함,반려동물과 생활하는 젊은층이 광고 스토리에 공감을 많이 할것 같습니다
9612_5CK6BARU190150,그냥 그래여,모르겟어요 그냥 2개비교하자면 첫번째 것 더 눈길가게되고 집중되요 .두번째 것는 보다가 딴생각하게되고 그래여
9641_5Q52N4IQ102751,친근하다,더 알기 쉽다
9657_5V89X0VJ181018,광고보고 믿음이 생겼다,더잘 만들었다는  느낌이들어요
9679_5XZG1G5T102854,강아지를 좋아해서,더친근함
9741_6RZ2EOHX175121,lg만의 특색있는 제품이란 생각은 안든다,사운드가 더 잘들어옵니다
9751_6QZ1HF7S114348,별로 가깝고 친근하게 느껴지진 않아서,강아지가 많이 나와서
9774_6LXRJLOG004845,펫과 사는 생활이 비슷해서,펫과 사는 생활에 제품설명이 잘 맞는듯
9792_6NHT9S38152729,감성적인 영상구성,더 눈길을 끈다
9826_675XSRH1212242,일상에서 자주 보고 자주듣는 브랜드라서,눈에 광고 내용이 더 잘 들어와서 무엇을 말하는지 이해하기 쉽다
9884_6LRQDWDJ161953,동물이 더 친근하게 느껴짐,좀더 트렌드하다
994_AO84TS7L182606,화면이 더 따뜻한 느낌,B광고는 삼성과 헷갈림
9950_6J3AZBI0152518,일상에서의 사용,제품에대한 이해가 더많이된다
CLOUDPANEL1766247,모델이 가깝게 느껴진다,모델이 더 마음에 든다
CLOUDPANEL1783376,애견을 키우는 집이 많으니까,더 자연스럽다
CLOUDPANEL1841322,일상의 모습,조금 더 감성적
CLOUDPANEL1845181,보통이라서,더 와닿았다
CLOUDPANEL1860886,친숙해서,끌려서
CLOUDPANEL1863415,가전은lg 무한한신뢰,강아지가 눈길을끕니다 귀엽네요
CLOUDPANEL1874904,친숙해서 익숙하다,친숙하다
CLOUDPANEL1875359,펫과의 친밀성을 강조하고 제품 또한 펫을 위한 기능이 들어가있음을 강조하는 듯하고 따뜻한 마음이 듭니다,깔끔하고 무슨 제품인지 한눈에 보이고 이해가 쉬우며 B광고는 유치한 면모가 보이며 껄끄러운 마음이 듭니다
CLOUDPANEL1882529,확더 와닿지않음,끌린다
